#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Mus musculus	10090	PRJNA11777	11777	Animals	Mammals	2807.72	41.9473	GCA_000001635.7	chromosome 1:NC_000067.6/CM000994.2; chromosome 2:NC_000068.7/CM000995.2; chromosome 3:NC_000069.6/CM000996.2; chromosome 4:NC_000070.6/CM000997.2; chromosome 5:NC_000071.6/CM000998.2; chromosome 6:NC_000072.6/CM000999.2; chromosome 7:NC_000073.6/CM001000.2; chromosome 8:NC_000074.6/CM001001.2; chromosome 9:NC_000075.6/CM001002.2; chromosome 10:NC_000076.6/CM001003.2; chromosome 11:NC_000077.6/CM001004.2; chromosome 12:NC_000078.6/CM001005.2; chromosome 13:NC_000079.6/CM001006.2; chromosome 14:NC_000080.6/CM001007.2; chromosome 15:NC_000081.6/CM001008.2; chromosome 16:NC_000082.6/CM001009.2; chromosome 17:NC_000083.6/CM001010.2; chromosome 18:NC_000084.6/CM001011.2; chromosome 19:NC_000085.6/CM001012.2; chromosome X:NC_000086.7/CM001013.2; chromosome Y:NC_000087.7/CM001014.2; mitochondrion MT:NC_005089.1/AY172335.1	-	304	48510	78240	2004/09/02	2016/06/22	Chromosome	Universidad de Zaragoza	-
Aspergillus terreus NIH2624	341663	PRJNA15631	15631	Fungi	Ascomycetes	29.364	52.8	GCA_000149615.1	-	AAJN01	27	10551	10401	2005/09/09	2014/08/06	Scaffold	Broad Institute	SAMN02953635
Ciona intestinalis	7719	PRJDA65419	65419	Animals	Other Animals	115.227	36.0218	GCA_000224145.2	chromosome 1:NC_020166.2/HT000001.2; chromosome 2:NC_020167.2/HT000007.2; chromosome 3:NC_020168.2/HT000008.2; chromosome 4:NC_020169.2/HT000009.2; chromosome 5:NC_020170.2/HT000010.2; chromosome 6:NC_020171.2/HT000011.2; chromosome 7:NC_020172.2/HT000012.2; chromosome 8:NC_020173.2/HT000013.2; chromosome 9:NC_020174.2/HT000014.2; chromosome 10:NC_020175.2/HT000002.2; chromosome 11:NC_020176.2/HT000003.2; chromosome 12:NC_020177.2/HT000004.2; chromosome 13:NC_020178.2/HT000005.2; chromosome 14:NC_020179.2/HT000006.2; chromosome MT:HT000188.1; mitochondrion MT:NC_004447.2/AJ517314.2	EAAA01	1280	15172	18961	2011/04/27	2011/04/27	Chromosome	Organization: Department of Zoology, Graduate School of	-
Thalassiosira pseudonana CCMP1335	296543	PRJNA191	191	Other	Other	32.4374	46.905	GCA_000149405.2	chromosome 1:NC_012064.1/CM000638.1; chromosome 2:NC_012065.1/CM000639.1; chromosome 3:NC_012066.1/CM000640.1; chromosome 4:NC_012067.1/CM000641.1; chromosome 5:NC_012068.1/CM000642.1; chromosome 6:NC_012069.1/CM000643.1; chromosome 7:NC_012070.1/CP001160.1; chromosome 8:NC_012071.1/CM000644.1; chromosome 9:NC_012072.1/CM000645.1; chromosome 10:NC_012073.1/CM000646.1; chromosome 12:NC_012075.1/CM000647.1; chromosome 13:NC_012076.1/CM000648.1; chromosome 14:NC_012077.1/CM000649.1; chromosome 15:NC_012078.1/CM000650.1; chromosome 17:NC_012080.1/CM000651.1; chromosome 18:NC_012081.1/CP001159.1; chromosome 20:NC_012083.1/CM000652.1; chromosome 22:NC_012085.1/CM000653.1; chromosome 23:NC_012086.1/CM000654.1; chromosome 24:NC_012087.1/CM000655.1	AAFD02	64	11771	11673	2004/10/07	2014/08/04	Chromosome	Diatom Consortium	SAMN02744045
Glossina morsitans morsitans	37546	PRJEA59499	59499	Animals	Insects	363.107	34.1	GCA_001077435.1	-	CCAG01	24071	-	-	2014/03/12	2015/01/30	Contig	International Glossina Genomics Initiative	SAMEA3146294
Fusarium graminearum PH-1	229533	PRJNA13839	13839	Fungi	Ascomycetes	36.458	48.3278	GCA_000240135.3	chromosome 1:NC_026474.1/CM000574.1; chromosome 2:NC_026475.1/CM000575.1; chromosome 3:NC_026476.1/CM000576.1; chromosome 4:NC_026477.1/CM000577.1	AACM02	31	13701	13313	2003/05/09	2014/08/06	Chromosome	International Gibberella zeae Genomics Consortium	SAMN02953593
Cryptococcus neoformans var. neoformans JEC21	214684	PRJNA13856	13856	Fungi	Basidiomycetes	19.0519	48.5368	GCA_000091045.1	chromosome 1:NC_006670.1/AE017341.1; chromosome 2:NC_006684.1/AE017342.1; chromosome 3:NC_006685.1/AE017343.1; chromosome 4:NC_006686.1/AE017344.1; chromosome 5:NC_006687.1/AE017345.1; chromosome 6:NC_006691.1/AE017346.1; chromosome 7:NC_006692.1/AE017347.1; chromosome 8:NC_006693.1/AE017348.1; chromosome 9:NC_006694.1/AE017349.1; chromosome 10:NC_006679.1/AE017350.1; chromosome 11:NC_006680.1/AE017351.1; chromosome 12:NC_006681.1/AE017352.1; chromosome 13:NC_006682.1/AE017353.1; chromosome 14:NC_006683.1/AE017356.1	-	14	6617	6475	2005/01/07	2015/11/20	Chromosome	TIGR	SAMN03081418
Magnaporthe oryzae 70-15	242507	PRJNA13840	13840	Fungi	Ascomycetes	40.9791	51.5882	GCA_000002495.2	chromosome 1:NC_017844.1/CM001231.1; chromosome 2:NC_017850.1/CM001232.1; chromosome 3:NC_017849.1/CM001233.1; chromosome 4:NC_017851.1/CM001234.1; chromosome 5:NC_017852.1/CM001235.1; chromosome 6:NC_017853.1/CM001236.1; chromosome 7:NC_017854.1/CM001237.1	AACU03	53	13184	12989	2003/10/31	2016/03/31	Chromosome	International Rice Blast Genome Consortium	SAMN02953596
Saccharomyces kudriavzevii FM1066	1163645	PRJNA42347	42347	Fungi	Ascomycetes	8.72945	44.4	GCA_000256765.1	-	AJHS01	1633	-	-	2012/03/23	2012/04/20	Scaffold	University of Colorado Denver Health Sciences Center	SAMN00829192
Dictyostelium discoideum AX4	352472	PRJNA201	201	Protists	Other Protists	34.205	22.4631	GCA_000004695.1	chromosome 1:NC_007087.3/CM000150.2; chromosome 2:NC_007088.5/CM000151.3; chromosome 3:NC_007089.4/CM000152.2; chromosome 4:NC_007090.3/CM000153.2; chromosome 5:NC_007091.3/CM000154.2; chromosome 6:NC_007092.3/CM000155.2; plasmid Ddp5:NC_001889.1/AF000580.1; mitochondrion MT:NC_000895.1/AB000109.1	AAFI02	41	13961	13315	2005/03/03	2014/08/06	Chromosome	The Dictyostelium discoideum Sequencing Consortium	SAMN02953606
Guillardia theta CCMP2712	905079	PRJNA53577	53577	Other	Other	87.1453	52.9	GCA_000315625.1	-	AEIE01	669	24923	24822	2012/11/02	2014/08/01	Scaffold	JGI	SAMN00116900
Saccharomyces bayanus 623-6C	226231	PRJNA1443	1443	Fungi	Ascomycetes	11.8653	40.2	GCA_000167035.1	-	AACG02	586	-	-	2003/05/22	2014/08/06	Scaffold	Washington University School of Medicine	SAMN02953590
Saccharomyces mikatae IFO 1815	226126	PRJNA374	374	Fungi	Ascomycetes	11.4703	38	GCA_000166975.1	-	AABZ01	1648	-	-	2003/03/28	2014/08/06	Contig	Broad Institute	SAMN02953585
Takifugu rubripes	31033	PRJNA1434	1434	Animals	Fishes	391.485	45.8414	GCA_000180615.2	chromosome 1:NC_018890.1/HE602535.1; chromosome 2:NC_018891.1/HE602536.1; chromosome 3:NC_018892.1/HE602537.1; chromosome 4:NC_018893.1/HE602538.1; chromosome 5:NC_018894.1/HE602539.1; chromosome 6:NC_018895.1/HE602540.1; chromosome 7:NC_018896.1/HE602541.1; chromosome 8:NC_018897.1/HE602542.1; chromosome 9:NC_018898.1/HE602543.1; chromosome 10:NC_018899.1/HE602544.1; chromosome 11:NC_018900.1/HE602545.1; chromosome 12:NC_018901.1/HE602546.1; chromosome 13:NC_018902.1/HE602547.1; chromosome 14:NC_018903.1/HE602548.1; chromosome 15:NC_018904.1/HE602549.1; chromosome 16:NC_018905.1/HE602550.1; chromosome 17:NC_018906.1/HE602551.1; chromosome 18:NC_018907.1/HE602552.1; chromosome 19:NC_018908.1/HE602553.1; chromosome 20:NC_018909.1/HE602554.1; chromosome 21:NC_018910.1/HE602555.1; chromosome 22:NC_018911.1/HE602556.1; mitochondrion MT:NC_004299.1/AJ421455.1	CAAB02	7091	23164	31052	2002/08/22	2011/07/12	Chromosome	The Fugu Genome Sequencing Consortium	SAMEA3138310
Ciona savignyi	51511	PRJNA1435	1435	Animals	Other Animals	587.353	37.5	GCA_000149265.1	-	AACT01	34009	-	-	2003/10/24	2014/08/05	Scaffold	Broad Institute	SAMN02952906
Plasmodium yoelii yoelii	73239	PRJNA1436	1436	Protists	Apicomplexans	23.1254	24.7	GCA_000003085.2	-	AABL01	5687	7396	7353	2002/10/03	2014/08/05	Contig	TIGR	SAMN02952904
Lachancea kluyveri NRRL Y-12651	226302	PRJNA1445	1445	Fungi	Ascomycetes	11.5091	41.6535	GCA_000149225.1	chromosome A:CM000687.1; chromosome B:CM000688.1; chromosome C:CM000689.1; chromosome D:CM000690.1; chromosome E:CM000691.1; chromosome F:CM000692.1; chromosome G:CM000693.1; chromosome H:CM000694.1	AACE03	32	-	-	2003/05/22	2014/08/06	Chromosome	Washington University School of Medicine	SAMN02953588
Ustilago maydis 521	237631	PRJNA1446	1446	Fungi	Basidiomycetes	19.6644	54.0121	GCA_000328475.2	chromosome 1:NC_026478.1/CM003140.1; chromosome 2:NC_026479.1/CM003141.1; chromosome 3:NC_026480.1/CM003142.1; chromosome 4:NC_026481.1/CM003143.1; chromosome 5:NC_026482.1/CM003144.1; chromosome 6:NC_026483.1/CM003145.1; chromosome 7:NC_026484.1/CM003146.1; chromosome 8:NC_026485.1/CM003147.1; chromosome 9:NC_026486.1/CM003148.1; chromosome 10:NC_026487.1/CM003149.1; chromosome 11:NC_026488.1/CM003150.1; chromosome 12:NC_026489.1/CM003151.1; chromosome 13:NC_026490.1/CM003152.1; chromosome 14:NC_026491.1/CM003153.1; chromosome 15:NC_026492.1/CM003154.1; chromosome 16:NC_026493.1/CM003155.1; chromosome 17:NC_026494.1/CM003156.1; chromosome 18:NC_026495.1/CM003157.1; chromosome 19:NC_026496.1/CM003158.1; chromosome 20:NC_026497.1/CM003159.1; chromosome 21:NC_026498.1/CM003160.1; chromosome 22:NC_026499.1/CM003161.1; chromosome 23:NC_026500.1/CM003162.1	AACP02	27	6910	6783	2003/07/29	2015/02/18	Chromosome	Broad Institute	SAMN02900459
Coprinopsis cinerea okayama7#130	240176	PRJNA1447	1447	Fungi	Basidiomycetes	36.1926	51.6	GCA_000182895.1	-	AACS02	68	13651	13356	2003/07/30	2014/08/06	Contig	Broad Institute	SAMN02953595
Rattus norvegicus	10116	PRJNA10629	10629	Animals	Mammals	2870.18	42.3282	GCA_000001895.4	chromosome 1:NC_005100.4/CM000072.5; chromosome 2:NC_005101.4/CM000073.5; chromosome 3:NC_005102.4/CM000074.5; chromosome 4:NC_005103.4/CM000075.5; chromosome 5:NC_005104.4/CM000076.5; chromosome 6:NC_005105.4/CM000077.5; chromosome 7:NC_005106.4/CM000078.5; chromosome 8:NC_005107.4/CM000079.5; chromosome 9:NC_005108.4/CM000080.5; chromosome 10:NC_005109.4/CM000081.5; chromosome 11:NC_005110.4/CM000082.5; chromosome 12:NC_005111.4/CM000083.5; chromosome 13:NC_005112.4/CM000084.5; chromosome 14:NC_005113.4/CM000085.5; chromosome 15:NC_005114.4/CM000086.5; chromosome 16:NC_005115.4/CM000087.5; chromosome 17:NC_005116.4/CM000088.5; chromosome 18:NC_005117.4/CM000089.5; chromosome 19:NC_005118.4/CM000090.5; chromosome 20:NC_005119.4/CM000091.5; chromosome X:NC_005120.4/CM000092.5; chromosome Y:NC_024475.1/CM002824.1; mitochondrion MT:NC_001665.2/AY172581.1	AABR07	1395	39365	56113	2002/11/27	2014/07/01	Chromosome	Rat Genome Sequencing Consortium	SAMN02808228
Saccharomyces paradoxus	27291	PRJEB7245	261308	Fungi	Ascomycetes	12.2147	38.242	GCA_002079145.1	chromosome I:CP020293.1; chromosome II:CP020294.1; chromosome III:CP020295.1; chromosome IV:CP020296.1; chromosome V:CP020297.1; chromosome VI:CP020298.1; chromosome VII:CP020299.1; chromosome VIII:CP020300.1; chromosome IX:CP020301.1; chromosome X:CP020302.1; chromosome XI:CP020303.1; chromosome XII:CP020304.1; chromosome XIII:CP020305.1; chromosome XIV:CP020306.1; chromosome XV:CP020307.1; chromosome XVI:CP020308.1; mitochondrion MT:CP020309.1	-	17	-	-	2017/03/21	2017/03/21	Chromosome	SC	SAMEA4461731
Naumovozyma castellii CBS 4309	1064592	PRJEA70625	70625	Fungi	Ascomycetes	11.2195	36.7559	GCA_000237345.1	chromosome 1:NC_016491.1/HE576752.1; chromosome 2:NC_016492.1/HE576753.1; chromosome 3:NC_016493.1/HE576754.1; chromosome 4:NC_016494.1/HE576755.1; chromosome 5:NC_016495.1/HE576756.1; chromosome 6:NC_016496.1/HE576757.1; chromosome 7:NC_016497.1/HE576758.1; chromosome 8:NC_016498.1/HE576759.1; chromosome 9:NC_016499.1/HE576760.1; chromosome 10:NC_016500.1/HE576761.1	-	10	5867	5589	2011/08/01	2017/06/02	Chromosome	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin	SAMEA2271985
Eremothecium gossypii ATCC 10895	284811	PRJNA13834	13834	Fungi	Ascomycetes	9.11931	51.6989	GCA_000091025.4	chromosome I:NC_005782.2/AE016814.2; chromosome II:NC_005783.5/AE016815.5; chromosome III:NC_005784.3/AE016816.3; chromosome IV:NC_005785.6/AE016817.6; chromosome V:NC_005786.2/AE016818.2; chromosome VI:NC_005787.5/AE016819.5; chromosome VII:NC_005788.4/AE016820.4; mitochondrion MT:NC_005789.1/AE016821.1	-	8	5356	4776	2004/03/04	2017/09/14	Complete Genome	Biozentrum, University of Basel, Switzerland	SAMN03081415
Branchiostoma floridae	7739	PRJNA20249	20249	Animals	Other Animals	521.895	41.8	GCA_000003815.1	-	ABEP02	398	28627	28623	2008/04/24	2014/08/06	Scaffold	DOE Joint Genome Institute	SAMN02953694
Bombyx mori	7091	PRJDA20217	20217	Animals	Insects	481.819	38.7993	GCA_000151625.1	mitochondrion MT:NC_002355.1/AF149768.1	BABH01	43463	16166	22571	2008/04/23	2015/09/18	Scaffold	The international silkworm genome sequencing consortium	SAMD00036537
Cyanidioschyzon merolae strain 10D	280699	PRJNA10792	10792	Other	Other	16.5467	55.0171	GCA_000091205.1	chromosome 1:NC_010127.1/AP006483.2; chromosome 2:NC_010128.1/AP006484.2; chromosome 3:NC_010129.1/AP006485.2; chromosome 4:NC_010130.1/AP006486.2; chromosome 5:NC_010131.1/AP006487.2; chromosome 6:NC_010132.1/AP006488.2; chromosome 7:NC_010133.1/AP006489.2; chromosome 8:NC_010134.1/AP006490.2; chromosome 9:NC_010135.1/AP006491.2; chromosome 10:NC_010136.1/AP006492.2; chromosome 11:NC_010137.1/AP006493.2; chromosome 12:NC_010138.1/AP006494.2; chromosome 13:NC_010139.1/AP006495.2; chromosome 14:NC_010140.1/AP006496.2; chromosome 15:NC_010141.1/AP006497.2; chromosome 16:NC_010142.1/AP006498.2; chromosome 17:NC_010143.1/AP006499.2; chromosome 18:NC_010144.1/AP006500.2; chromosome 19:NC_010145.1/AP006501.2; chromosome 20:NC_010146.1/AP006502.2	-	20	5373	4803	2004/04/09	2017/06/16	Complete Genome	National Institute of Genetics, Japan	-
Xenopus tropicalis	8364	PRJNA12348	12348	Animals	Amphibians	1440.4	40.5404	GCA_000004195.3	chromosome 1:NC_030677.1/CM004443.1; chromosome 2:NC_030678.1/CM004444.1; chromosome 3:NC_030679.1/CM004445.1; chromosome 4:NC_030680.1/CM004446.1; chromosome 5:NC_030681.1/CM004447.1; chromosome 6:NC_030682.1/CM004448.1; chromosome 7:NC_030683.1/CM004449.1; chromosome 8:NC_030684.1/CM004450.1; chromosome 9:NC_030685.1/CM004451.1; chromosome 10:NC_030686.1/CM004452.1; mitochondrion MT:NC_006839.1/AY789013.1	AAMC03	6822	26496	39715	2009/11/13	2016/07/13	Chromosome	DOE Joint Genome Institute	SAMN00000117
Xenopus laevis	8355	PRJNA338693	338693	Animals	Amphibians	2718.43	40.2325	GCA_001663975.1	chromosome 1L:NC_030724.1/CM004466.1; chromosome 1S:NC_030725.1/CM004467.1; chromosome 2L:NC_030726.1/CM004468.1; chromosome 2S:NC_030727.1/CM004469.1; chromosome 3L:NC_030728.1/CM004470.1; chromosome 3S:NC_030729.1/CM004471.1; chromosome 4L:NC_030730.1/CM004472.1; chromosome 4S:NC_030731.1/CM004473.1; chromosome 5L:NC_030732.1/CM004474.1; chromosome 5S:NC_030733.1/CM004475.1; chromosome 6L:NC_030734.1/CM004476.1; chromosome 6S:NC_030735.1/CM004477.1; chromosome 7L:NC_030736.1/CM004478.1; chromosome 7S:NC_030737.1/CM004479.1; chromosome 8L:NC_030738.1/CM004480.1; chromosome 8S:NC_030739.1/CM004481.1; chromosome 9_10L:NC_030740.1/CM004482.1; chromosome 9_10S:NC_030741.1/CM004483.1; mitochondrion MT:NC_001573.1/M10217.1	LYTH01	108033	36776	56817	2016/06/14	2016/09/21	Chromosome	NCBI	SAMN04518361
Bos taurus	9913	PRJNA32899	32899	Animals	Mammals	2670.14	41.8867	GCA_000003055.5	chromosome 1:AC_000158.1/GK000001.2; chromosome 2:AC_000159.1/GK000002.2; chromosome 3:AC_000160.1/GK000003.2; chromosome 4:AC_000161.1/GK000004.2; chromosome 5:AC_000162.1/GK000005.2; chromosome 6:AC_000163.1/GK000006.2; chromosome 7:AC_000164.1/GK000007.2; chromosome 8:AC_000165.1/GK000008.2; chromosome 9:AC_000166.1/GK000009.2; chromosome 10:AC_000167.1/GK000010.2; chromosome 11:AC_000168.1/GK000011.2; chromosome 12:AC_000169.1/GK000012.2; chromosome 13:AC_000170.1/GK000013.2; chromosome 14:AC_000171.1/GK000014.2; chromosome 15:AC_000172.1/GK000015.2; chromosome 16:AC_000173.1/GK000016.2; chromosome 17:AC_000174.1/GK000017.2; chromosome 18:AC_000175.1/GK000018.2; chromosome 19:AC_000176.1/GK000019.2; chromosome 20:AC_000177.1/GK000020.2; chromosome 21:AC_000178.1/GK000021.2; chromosome 22:AC_000179.1/GK000022.2; chromosome 23:AC_000180.1/GK000023.2; chromosome 24:AC_000181.1/GK000024.2; chromosome 25:AC_000182.1/GK000025.2; chromosome 26:AC_000183.1/GK000026.2; chromosome 27:AC_000184.1/GK000027.2; chromosome 28:AC_000185.1/GK000028.2; chromosome 29:AC_000186.1/GK000029.2; chromosome X:AC_000187.1/GK000030.2; mitochondrion MT:NC_006853.1/AY526085.1	DAAA02	6337	32432	49107	2009/04/24	2014/12/09	Chromosome	Center for Bioinformatics and Computational Biology, University of Maryland	SAMN02898106
Sus scrofa	9823	PRJNA13421	13421	Animals	Mammals	2501.91	41.971	GCA_000003025.6	chromosome 1:NC_010443.5/CM000812.5; chromosome 2:NC_010444.4/CM000813.5; chromosome 3:NC_010445.4/CM000814.5; chromosome 4:NC_010446.5/CM000815.5; chromosome 5:NC_010447.5/CM000816.5; chromosome 6:NC_010448.4/CM000817.5; chromosome 7:NC_010449.5/CM000818.5; chromosome 8:NC_010450.4/CM000819.5; chromosome 9:NC_010451.4/CM000820.5; chromosome 10:NC_010452.4/CM000821.5; chromosome 11:NC_010453.5/CM000822.5; chromosome 12:NC_010454.4/CM000823.5; chromosome 13:NC_010455.5/CM000824.5; chromosome 14:NC_010456.5/CM000825.5; chromosome 15:NC_010457.5/CM000826.5; chromosome 16:NC_010458.4/CM000827.5; chromosome 17:NC_010459.5/CM000828.5; chromosome 18:NC_010460.4/CM000829.5; chromosome X:NC_010461.5/CM000830.5; chromosome Y:NC_010462.3/LT634572.1; mitochondrion MT:NC_000845.1/AF034253.1	AEMK02	706	30173	63577	2008/07/11	2016/12/06	Chromosome	The Swine Genome Sequencing Consortium (SGSC)	SAMN02953785
Felis catus	9685	PRJNA16726	16726	Animals	Mammals	2641.34	42.0311	GCA_000181335.3	chromosome A1:NC_018723.2/CM001378.2; chromosome A2:NC_018724.2/CM001379.2; chromosome A3:NC_018725.2/CM001380.2; chromosome B1:NC_018726.2/CM001381.2; chromosome B2:NC_018727.2/CM001382.2; chromosome B3:NC_018728.2/CM001383.2; chromosome B4:NC_018729.2/CM001384.2; chromosome C1:NC_018730.2/CM001385.2; chromosome C2:NC_018731.2/CM001386.2; chromosome D1:NC_018732.2/CM001387.2; chromosome D2:NC_018733.2/CM001388.2; chromosome D3:NC_018734.2/CM001389.2; chromosome D4:NC_018735.2/CM001390.2; chromosome E1:NC_018736.2/CM001391.2; chromosome E2:NC_018737.2/CM001392.2; chromosome E3:NC_018738.2/CM001393.2; chromosome F1:NC_018739.2/CM001394.2; chromosome F2:NC_018740.2/CM001395.2; chromosome X:NC_018741.2/CM001396.2; mitochondrion MT:NC_001700.1/U20753.1	AANG03	267928	34949	53033	2006/04/27	2014/11/07	Chromosome	International Cat Genome Sequencing Consortium	SAMN02953640
Ovis aries	9940	PRJNA179263	179263	Animals	Mammals	2615.52	41.9795	GCA_000298735.2	chromosome 1:NC_019458.2/CM001582.2; chromosome 2:NC_019459.2/CM001583.2; chromosome 3:NC_019460.2/CM001584.2; chromosome 4:NC_019461.2/CM001585.2; chromosome 5:NC_019462.2/CM001586.2; chromosome 6:NC_019463.2/CM001587.2; chromosome 7:NC_019464.2/CM001588.2; chromosome 8:NC_019465.2/CM001589.2; chromosome 9:NC_019466.2/CM001590.2; chromosome 10:NC_019467.2/CM001591.2; chromosome 11:NC_019468.2/CM001592.2; chromosome 12:NC_019469.2/CM001593.2; chromosome 13:NC_019470.2/CM001594.2; chromosome 14:NC_019471.2/CM001595.2; chromosome 15:NC_019472.2/CM001596.2; chromosome 16:NC_019473.2/CM001597.2; chromosome 17:NC_019474.2/CM001598.2; chromosome 18:NC_019475.2/CM001599.2; chromosome 19:NC_019476.2/CM001600.2; chromosome 20:NC_019477.2/CM001601.2; chromosome 21:NC_019478.2/CM001602.2; chromosome 22:NC_019479.2/CM001603.2; chromosome 23:NC_019480.2/CM001604.2; chromosome 24:NC_019481.2/CM001605.2; chromosome 25:NC_019482.2/CM001606.2; chromosome 26:NC_019483.2/CM001607.2; chromosome X:NC_019484.2/CM001608.2; mitochondrion MT:NC_001941.1/AF010406.1	AMGL02	5466	29110	43046	2012/09/21	2015/11/20	Chromosome	NCBI	SAMN00116405
Canis lupus familiaris	9615	PRJNA13179	13179	Animals	Mammals	2410.98	41.3022	GCA_000002285.2	chromosome 1:NC_006583.3/CM000001.3; chromosome 2:NC_006584.3/CM000002.3; chromosome 3:NC_006585.3/CM000003.3; chromosome 4:NC_006586.3/CM000004.3; chromosome 5:NC_006587.3/CM000005.3; chromosome 6:NC_006588.3/CM000006.3; chromosome 7:NC_006589.3/CM000007.3; chromosome 8:NC_006590.3/CM000008.3; chromosome 9:NC_006591.3/CM000009.3; chromosome 10:NC_006592.3/CM000010.3; chromosome 11:NC_006593.3/CM000011.3; chromosome 12:NC_006594.3/CM000012.3; chromosome 13:NC_006595.3/CM000013.3; chromosome 14:NC_006596.3/CM000014.3; chromosome 15:NC_006597.3/CM000015.3; chromosome 16:NC_006598.3/CM000016.3; chromosome 17:NC_006599.3/CM000017.3; chromosome 18:NC_006600.3/CM000018.3; chromosome 19:NC_006601.3/CM000019.3; chromosome 20:NC_006602.3/CM000020.3; chromosome 21:NC_006603.3/CM000021.3; chromosome 22:NC_006604.3/CM000022.3; chromosome 23:NC_006605.3/CM000023.3; chromosome 24:NC_006606.3/CM000024.3; chromosome 25:NC_006607.3/CM000025.3; chromosome 26:NC_006608.3/CM000026.3; chromosome 27:NC_006609.3/CM000027.3; chromosome 28:NC_006610.3/CM000028.3; chromosome 29:NC_006611.3/CM000029.3; chromosome 30:NC_006612.3/CM000030.3; chromosome 31:NC_006613.3/CM000031.3; chromosome 32:NC_006614.3/CM000032.3; chromosome 33:NC_006615.3/CM000033.3; chromosome 34:NC_006616.3/CM000034.3; chromosome 35:NC_006617.3/CM000035.3; chromosome 36:NC_006618.3/CM000036.3; chromosome 37:NC_006619.3/CM000037.3; chromosome 38:NC_006620.3/CM000038.3; chromosome X:NC_006621.3/CM000039.3; mitochondrion MT:NC_002008.4/U96639.2	AAEX03	3310	36809	58776	2004/07/10	2014/08/06	Chromosome	Dog Genome Sequencing Consortium	SAMN02953603
Strongylocentrotus purpuratus	7668	PRJNA56067	56067	Animals	Other Animals	990.915	38.3	GCA_000002235.3	mitochondrion MT:NC_001453.1/X12631.1	AAGJ05	31897	31871	35804	2005/03/11	2015/03/10	Scaffold	NCBI	SAMN00829422
Lachancea waltii NCYC 2644	262981	PRJNA10734	10734	Fungi	Ascomycetes	10.9121	44.3	GCA_000167115.1	-	AADM01	713	-	-	2004/03/15	2014/08/06	Contig	Broad Institute	SAMN02953599
Coccidioides posadasii C735 delta SOWgp	222929	PRJNA9616	9616	Fungi	Ascomycetes	27.0134	46.6	GCA_000151335.1	-	ACFW01	55	7255	7229	2009/06/17	2014/08/06	Scaffold	TIGR-J. Craig Venter Institute	SAMN02953748
